iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
AUT,CHE,1,1,0,0,684.8875,6.529254591197772,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,CHL,0,0,0,0,12522.0,9.435242376305256,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,CHN,0,0,0,0,7468.012,8.918384111516241,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,CIV,0,0,0,0,5152.116,8.547162783058669,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,CMR,0,0,0,0,4959.645,8.509089444576889,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,COL,0,0,0,0,9738.664,9.183859220903985,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,CRI,0,0,0,0,9950.39,9.205367025364396,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,CYP,0,0,0,0,2017.949,7.609836928047121,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,CZE,1,0,1,0,252.4479,5.531204890791419,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,DEU,1,1,0,0,763.7314,6.638216156670432,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,DNK,0,0,0,0,868.5304,6.766802587947099,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,EGY,0,0,0,0,2386.201,7.777457840517968,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,ESP,0,0,0,0,1811.999,7.502185934726393,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,EST,0,0,0,0,1360.358,7.215503179383884,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,FIN,0,0,0,0,1437.813,7.270878488100216,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,FRA,0,0,0,0,1035.144,6.942295826456511,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,GBR,0,0,0,0,1238.199,7.121413183460835,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,GRC,0,0,0,0,1283.6,7.1574239092357015,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,HKG,0,0,0,0,8739.125,9.075565349221323,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,HRV,0,0,1,0,270.6798,5.600936572483894,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,HUN,1,0,0,0,215.6626,5.373715149395349,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,IDN,0,0,0,0,10553.88,9.264248843804328,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,IND,0,0,0,0,5571.096,8.62534708196712,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,IRL,0,0,0,0,1681.996,7.427736462408782,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,ISL,0,0,0,0,2891.521,7.969537940238336,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,ISR,0,0,0,0,2369.546,7.7704536545975555,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,ITA,1,0,0,0,767.4132,6.64302537860315,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,JOR,0,0,0,0,2446.274,7.802321329597264,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,JPN,0,0,0,0,9141.063,9.120531959655011,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,KAZ,0,0,0,0,4615.688,8.437216214915694,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,KHM,0,0,0,0,8951.857,9.099616275780171,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,KOR,0,0,0,0,8289.029,9.022688112198026,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,LAO,0,0,0,0,8263.672,9.019624319789145,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,LTU,0,0,0,0,948.9832,6.85539109560813,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,LUX,0,1,0,0,762.4356,6.63651804589831,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,LVA,0,0,0,0,1102.181,7.005046223049783,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,MAR,0,0,0,0,2488.828,7.819567195921942,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,MEX,0,0,0,0,10163.51,9.226559133911554,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,MLT,0,0,0,0,1379.07,7.229164637926305,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,MMR,0,0,0,0,7883.924,8.972581028449385,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,MYS,0,0,0,0,9410.919,9.149625889872434,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
