iso_o,TIME_PERIOD,schooling
ITA,2009,16.2816906
ITA,2010,16.23377037
ITA,2011,16.39005089
ITA,2012,16.17153931
ITA,2013,15.97972965
ITA,2014,15.96411991
ITA,2015,15.95446968
ITA,2016,15.95277023
ITA,2017,16.14879036
ITA,2018,16.28825951
ITA,2019,16.38013077
ITA,2020,16.53112984
JOR,2000,11.81544018
JOR,2001,12.0518651
JOR,2002,12.28829002
JOR,2003,12.58051968
JOR,2004,12.8573103
JOR,2005,12.84228992
JOR,2006,12.84058952
JOR,2007,12.84978008
JOR,2008,12.88105965
JOR,2009,12.88059998
JOR,2010,12.55939007
JOR,2011,12.56363964
JOR,2012,12.89628983
JOR,2013,12.90334487
JOR,2014,12.91039991
JOR,2015,12.91745496
JOR,2016,12.92451
JOR,2017,12.62730026
JOR,2018,12.88411045
JOR,2019,12.87932968
JOR,2020,12.91650963
JPN,2000,14.98795945
JPN,2001,15.01929869
JPN,2002,15.05063793
JPN,2003,15.08197716
JPN,2004,15.1133164
JPN,2005,15.14465564
JPN,2006,15.17599487
JPN,2007,15.20733411
JPN,2008,15.23867335
JPN,2009,15.27001258
JPN,2010,15.30135182
JPN,2011,15.33269106
JPN,2012,15.36403029
JPN,2013,15.39536953
JPN,2014,15.40052986
JPN,2015,15.41378021
JPN,2016,15.37909031
JPN,2017,15.38788986
JPN,2018,15.40042019
JPN,2019,15.44126987
JPN,2020,15.45631981
KAZ,2000,12.23789978
KAZ,2001,12.63942146
KAZ,2002,13.04094315
KAZ,2003,13.44246483
KAZ,2004,13.84398651
KAZ,2005,14.24550819
KAZ,2006,14.64702988
KAZ,2007,14.60829234
KAZ,2008,14.56955481
KAZ,2009,14.53081727
KAZ,2010,14.49207973
KAZ,2011,14.70116043
KAZ,2012,14.78635025
KAZ,2013,14.57437038
KAZ,2014,14.39548969
KAZ,2015,14.19941998
KAZ,2016,14.10587025
KAZ,2017,14.21605015
KAZ,2018,14.35060978
KAZ,2019,14.58216
KAZ,2020,14.81626987
KHM,2000,7.958469868
KHM,2001,8.594880104
KHM,2002,9.777799606
KHM,2003,10.32608032
KHM,2004,10.84488964
KHM,2005,11.0031147
KHM,2006,11.16133976
KHM,2007,11.16427994
KHM,2008,11.05580997
KHM,2009,11.06528212
KHM,2010,11.07475427
KHM,2011,11.08422642
KHM,2012,11.09369857
KHM,2013,11.10317071
KHM,2014,11.11264286
KHM,2015,11.12211501
KHM,2016,11.13158716
KHM,2017,11.1410593
KHM,2018,11.15053145
KHM,2019,11.1600036
KHM,2020,11.16947575
KOR,2000,15.53610992
KOR,2001,15.63733006
KOR,2002,15.80494022
KOR,2003,15.97859955
KOR,2004,16.16551018
KOR,2005,16.36128998
KOR,2006,16.47963905
KOR,2007,16.62828064
KOR,2008,16.69165039
KOR,2009,16.72352028
KOR,2010,16.7948494
KOR,2011,16.83992004
KOR,2012,16.75774956
KOR,2013,16.68445015
KOR,2014,16.61566925
KOR,2015,16.57014084
KOR,2016,16.48817062
KOR,2017,16.42491913
KOR,2018,16.38441086
KOR,2019,16.37698936
KOR,2020,16.37731934
LAO,2000,7.925909996
LAO,2001,7.976659775
LAO,2002,8.296759605
LAO,2003,8.68212986
LAO,2004,8.880860329
LAO,2005,9.123129845
LAO,2006,9.225119591
LAO,2007,9.382089615
LAO,2008,9.553330421
LAO,2009,9.830570221
LAO,2010,10.04775047
LAO,2011,10.45347023
LAO,2012,10.52556038
LAO,2013,10.78007984
LAO,2014,11.03997993
LAO,2015,11.17383957
